State/UT,District,Gender,Age_Group,Missing_Count
Andhra Pradesh,Alluri Sitharama Raju,Male,Below 12,0
Andhra Pradesh,Alluri Sitharama Raju,Male,12 to 16,8
Andhra Pradesh,Alluri Sitharama Raju,Male,16 to 18,0
Andhra Pradesh,Alluri Sitharama Raju,Male,Above 18,28
Andhra Pradesh,Alluri Sitharama Raju,Female,Below 12,0
Andhra Pradesh,Alluri Sitharama Raju,Female,12 to 16,8
Andhra Pradesh,Alluri Sitharama Raju,Female,16 to 18,46
Andhra Pradesh,Alluri Sitharama Raju,Female,Above 18,26
Andhra Pradesh,Alluri Sitharama Raju,Transgender,Below 12,0
Andhra Pradesh,Alluri Sitharama Raju,Transgender,12 to 16,0
Andhra Pradesh,Alluri Sitharama Raju,Transgender,16 to 18,0
Andhra Pradesh,Alluri Sitharama Raju,Transgender,Above 18,1
Andhra Pradesh,Anakapalli,Male,Below 12,4
Andhra Pradesh,Anakapalli,Male,12 to 16,8
Andhra Pradesh,Anakapalli,Male,16 to 18,8
Andhra Pradesh,Anakapalli,Male,Above 18,69
Andhra Pradesh,Anakapalli,Female,Below 12,5
Andhra Pradesh,Anakapalli,Female,12 to 16,14
Andhra Pradesh,Anakapalli,Female,16 to 18,37
Andhra Pradesh,Anakapalli,Female,Above 18,141
Andhra Pradesh,Anakapalli,Transgender,Below 12,0
Andhra Pradesh,Anakapalli,Transgender,12 to 16,0
Andhra Pradesh,Anakapalli,Transgender,16 to 18,0
Andhra Pradesh,Anakapalli,Transgender,Above 18,0
Andhra Pradesh,Anantapuramu,Male,Below 12,4
Andhra Pradesh,Anantapuramu,Male,12 to 16,19
Andhra Pradesh,Anantapuramu,Male,16 to 18,15
Andhra Pradesh,Anantapuramu,Male,Above 18,179
Andhra Pradesh,Anantapuramu,Female,Below 12,0
Andhra Pradesh,Anantapuramu,Female,12 to 16,54
Andhra Pradesh,Anantapuramu,Female,16 to 18,166
Andhra Pradesh,Anantapuramu,Female,Above 18,431
Andhra Pradesh,Anantapuramu,Transgender,Below 12,0
Andhra Pradesh,Anantapuramu,Transgender,12 to 16,0
Andhra Pradesh,Anantapuramu,Transgender,16 to 18,0
Andhra Pradesh,Anantapuramu,Transgender,Above 18,0
Andhra Pradesh,Annamayya,Male,Below 12,11
Andhra Pradesh,Annamayya,Male,12 to 16,4
Andhra Pradesh,Annamayya,Male,16 to 18,16
Andhra Pradesh,Annamayya,Male,Above 18,60
Andhra Pradesh,Annamayya,Female,Below 12,18
Andhra Pradesh,Annamayya,Female,12 to 16,45
Andhra Pradesh,Annamayya,Female,16 to 18,72
Andhra Pradesh,Annamayya,Female,Above 18,157
Andhra Pradesh,Annamayya,Transgender,Below 12,0
Andhra Pradesh,Annamayya,Transgender,12 to 16,0
Andhra Pradesh,Annamayya,Transgender,16 to 18,0
Andhra Pradesh,Annamayya,Transgender,Above 18,0
Andhra Pradesh,Bapatla,Male,Below 12,4
Andhra Pradesh,Bapatla,Male,12 to 16,9
Andhra Pradesh,Bapatla,Male,16 to 18,11
Andhra Pradesh,Bapatla,Male,Above 18,97
Andhra Pradesh,Bapatla,Female,Below 12,2
Andhra Pradesh,Bapatla,Female,12 to 16,18
Andhra Pradesh,Bapatla,Female,16 to 18,59
Andhra Pradesh,Bapatla,Female,Above 18,218
Andhra Pradesh,Bapatla,Transgender,Below 12,3
Andhra Pradesh,Bapatla,Transgender,12 to 16,0
Andhra Pradesh,Bapatla,Transgender,16 to 18,0
Andhra Pradesh,Bapatla,Transgender,Above 18,1
Andhra Pradesh,Chittoor,Male,Below 12,2
Andhra Pradesh,Chittoor,Male,12 to 16,9
Andhra Pradesh,Chittoor,Male,16 to 18,7
Andhra Pradesh,Chittoor,Male,Above 18,96
Andhra Pradesh,Chittoor,Female,Below 12,1
Andhra Pradesh,Chittoor,Female,12 to 16,49
Andhra Pradesh,Chittoor,Female,16 to 18,127
Andhra Pradesh,Chittoor,Female,Above 18,361
Andhra Pradesh,Chittoor,Transgender,Below 12,0
